Nama,Program Studi
DEVINA CINANTYA ANINDITA,Pengelolaan Perkebunan Kopi (D4)
ADITYA WAHYU PRATAMA,Mesin Otomotif (D4)
LILIK MASTUTI,Unknown
MUHAMAD ANDRIANTO,Unknown
SUWARDI,Unknown
SITI AISYIYAH,Bahasa Inggris (D3)
MOCHAMMAD BINTORO,Teknik Produksi Benih (D4)
MOCHAMMAD BINTORO,Teknik Produksi Benih (D4)
SYAMSUL ARIFIN,Teknik Informatika (D4)
PUJI HASTUTI,Teknik Informatika (Kampus Kab Nganjuk) (D4)
SUYIK BINARKAHENI,Bahasa Inggris (D3)
NILAM PUSPITASARI,Promosi Kesehatan (D4)
RIZKY ADHITYA NUGROHO,Bisnis Digital (D4)
CHOIRUL HUDA,Teknik Informatika (D4)
TRISAKTI HALIMAH DELIMASARI,Manajemen Informasi Kesehatan (Kampus Kab. Ngawi) (D4)
RATIH PUSPITORINI YEKTI A,Manajemen Pemasaran Internasional (D4)
QANITAH,Teknik Energi Terbarukan (D4)
